id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
44322649007,"Bahia Escondida Hotel, Convention Center & Resort",,28415,Local Business,bahiaescondida,yes,https://www.facebook.com/bahiaescondida/,0.02,131
243166889027503,Garbage,,967802,Musician/Band,GarbageOfficial,yes,https://www.facebook.com/GarbageOfficial/,0.35,44856
119224978089288,Mike Shinoda,,106259,Musician/Band,MiikeShinoda,yes,https://www.facebook.com/MiikeShinoda/,0.01,129
66877302784,La Leyenda,,326371,Musician/Band,laleyendagrupo,yes,https://www.facebook.com/laleyendagrupo/,0.08,9239
253591661347566,Pinterest,,4827249,App Page,pinterest,no,https://www.facebook.com/pinterest/,0.05,12017
30577197161,Nuevo León Extraordinario,,491779,Travel/Leisure,turismonl,yes,https://www.facebook.com/turismonl/,0.14,19205
124522328273,ROBOTEKNIA - Robótica para Todos,,2013,Education,ROBOTEKNIA,yes,https://www.facebook.com/ROBOTEKNIA/,0,5
152117754894409,Club Tec Monterrey,,2235,Magazine,ClubTecMonterrey,yes,https://www.facebook.com/ClubTecMonterrey/,0,0
142170222518731,Impulso Marketing,,846,Local Business,impulsomktg,yes,https://www.facebook.com/impulsomktg/,0,1
36333015730,Alto Nivel,,543583,Media/News Company,AltoNivelMX,yes,https://www.facebook.com/AltoNivelMX/,0.74,59337
126229640764495,Inversionista,,19066,Magazine,revistainversionista,yes,https://www.facebook.com/revistainversionista/,0,81
396639960369823,Compromiso Juvenil,,103,Community Organization,,yes,https://www.facebook.com/Compromiso-Juvenil-396639960369823/,0,0
126229670753639,Mi Mundo y Yo,,526,Non-Profit Organization,MimundoyyoSSC,yes,https://www.facebook.com/MimundoyyoSSC/,0,5
200904573282726,Latidos Campus Monterrey,,1534,Non-Profit Organization,latidosmty,yes,https://www.facebook.com/latidosmty/,0,2
399612636752490,Centro Integral de Armonía y Crecimiento,,7290,Education,CIAC.sanpedro,yes,https://www.facebook.com/CIAC.sanpedro/,0.03,363
175017842587009,Incubadora De Empresas Monterrey (INEM),,891,Government Organization,,yes,https://www.facebook.com/Incubadora-De-Empresas-Monterrey-INEM-175017842587009/,0,1
243845177582,Colección FEMSA,,22930,Non-Profit Organization,ColeccionFEMSA,no,https://www.facebook.com/ColeccionFEMSA/,0.06,29
84395349915,MATACANES,,5488,Travel/Leisure,mty.matacanes,yes,https://www.facebook.com/mty.matacanes/,0.03,3
142680205799516,Matacanes,,8162,Tours & Sightseeing,Matacanesmex,yes,https://www.facebook.com/Matacanesmex/,0.01,7
144854225638893,2gether CEGL,,163,Community,2gether2013.cegl,yes,https://www.facebook.com/2gether2013.cegl/,0,0
288167684573404,"Proyecto METAS - Motivate, Experimenta y Transmite Salud, A.C.",,1061,Non-Profit Organization,metasac,yes,https://www.facebook.com/metasac/,0,4
268836813138669,Creciendo con Zaragoza,,739,Community Organization,Zaragozacrece,yes,https://www.facebook.com/Zaragozacrece/,0.01,4
314408936629,www.cleaniron.com,,1579,Product/Service,cleaniron.franquicias,yes,https://www.facebook.com/cleaniron.franquicias/,0.02,114
336806449729560,BioSolutions,,677,Biotechnology,BioSolutionsMex,yes,https://www.facebook.com/BioSolutionsMex/,0,10
