Source,Target
34767149008,226380994085115
34767149008,190437687666949
34767149008,577811938978337
34767149008,105090206230520
34767149008,457934517637126
34767149008,1404150473144190
34767149008,110767978989316
34767149008,357413301003224
34767149008,425425190912249
34767149008,99158093147
34767149008,225867107444247
34767149008,136659463030729
34767149008,181200461932644
34767149008,205095032857458
34767149008,126545974046623
34767149008,205879976105633
34767149008,61213649618
34767149008,198686230002
34767149008,164814586897879
34767149008,530372066978862
34767149008,51491238316
34767149008,263391853700567
34767149008,252862098066707
34767149008,217922684955583
34767149008,119677581444554
34767149008,283048951715725
34767149008,449881680467
34767149008,110639758966172
34767149008,175457055829249
34767149008,112836955449317
226380994085115,396528727211711
226380994085115,1445605445697590
226380994085115,514718172038102
226380994085115,946317728766225
226380994085115,1615742718685690
226380994085115,1408474549421290
226380994085115,666487426818781
226380994085115,752746094781863
226380994085115,1406319766337300
226380994085115,262895237081858
226380994085115,1425435727676160
226380994085115,1496218163986950
226380994085115,436473923060790
226380994085115,270577976380974
226380994085115,150421328323500
226380994085115,257675627637
226380994085115,1444320322459400
226380994085115,261518774014039
226380994085115,162395107144644
226380994085115,213278955479607
226380994085115,1409851549229190
226380994085115,253590865334
226380994085115,368683849908939
226380994085115,136659463030729
226380994085115,224985840950131
226380994085115,260819157288541
226380994085115,148915424022
226380994085115,434442736640539
226380994085115,671813316191644
226380994085115,80303969429
226380994085115,483085598450062
226380994085115,542996135760195
226380994085115,285787344772043
226380994085115,247413282013594
226380994085115,117727151619588
226380994085115,119392921408296
226380994085115,108384249192358
226380994085115,40248352831
226380994085115,109849083287
226380994085115,160385187326110
226380994085115,104002292969382
226380994085115,598497313498421
226380994085115,423139864436712
226380994085115,112432842116375
226380994085115,163502416997218
226380994085115,61213649618
226380994085115,196247840517944
226380994085115,165878254250
226380994085115,472311859487039
226380994085115,442573035826449
226380994085115,133910143309154
226380994085115,152552288115942
226380994085115,260833087368590
226380994085115,106538626050216
226380994085115,99158093147
226380994085115,105090206230520
226380994085115,241867085852973
226380994085115,135299372719
226380994085115,226130625557
226380994085115,203999956301716
226380994085115,110767978989316
226380994085115,195138233950854
226380994085115,467829466599535
226380994085115,114409914422
226380994085115,148662828478047
226380994085115,23402039579
226380994085115,189353597751741
226380994085115,159411297001
226380994085115,212128282140573
226380994085115,141406265878756
226380994085115,192366194179807
226380994085115,270947436361261
226380994085115,459866517377723
226380994085115,283889985025083
226380994085115,441092072582012
226380994085115,402692329795588
226380994085115,176629862359769
226380994085115,421911591193325
226380994085115,105879159522982
226380994085115,243162112394447
226380994085115,269241116504826
226380994085115,279359032144522
226380994085115,200585653298805
226380994085115,291981867486977
226380994085115,212235555192
226380994085115,23200868598
226380994085115,449881680467
226380994085115,112836955449317
226380994085115,119677581444554
226380994085115,96599902887
226380994085115,127128043964568
226380994085115,283048951715725
226380994085115,34767149008
226380994085115,54971236771
190437687666949,722757587821503
190437687666949,462694970497495
190437687666949,444007185707294
190437687666949,956105987737009
190437687666949,599125390225104
190437687666949,191157927594153
190437687666949,645313582162337
190437687666949,543968522301181
190437687666949,1109136145769810
190437687666949,671974326254282
190437687666949,185674334890158
190437687666949,333524406807067
190437687666949,351692666730
190437687666949,209996925732144
190437687666949,152007268155906
190437687666949,499056336801708
190437687666949,764555870308742
190437687666949,1141702229178570
190437687666949,296137117069925
190437687666949,198802196904696
190437687666949,1584936018453640
190437687666949,360991957399917
190437687666949,115298625211450
190437687666949,288707177952079
190437687666949,218267631535536
190437687666949,332280893566178
190437687666949,169043796467600
190437687666949,369014859880323
190437687666949,18468761129
190437687666949,1382181485337780
190437687666949,124409374357039
190437687666949,1575357299344200
190437687666949,343221755869610
190437687666949,150540921634367
190437687666949,113847935446490
190437687666949,457359224332461
190437687666949,188147667885651
190437687666949,467762689942868
190437687666949,49729693499
190437687666949,872224956196985
190437687666949,299966159738
190437687666949,108506379455
190437687666949,587430014679212
190437687666949,124339950984219
190437687666949,185462641604352
190437687666949,128828200643096
190437687666949,414695105268259
190437687666949,168411509965738
190437687666949,274026972614424
190437687666949,204999872871188
190437687666949,42495086330
190437687666949,682219445195704
190437687666949,406623299353164
190437687666949,287090314756989
190437687666949,260052904154136
190437687666949,106023406156130
190437687666949,1457182657834530
190437687666949,1380673955498230
190437687666949,627892027247424
190437687666949,406711056056106
190437687666949,472354919466030
190437687666949,213833428681506
190437687666949,136320503067331
190437687666949,197196013653578
190437687666949,197602757044612
190437687666949,117203591693767
190437687666949,233776353430432
190437687666949,329023760510069
190437687666949,147752288756479
190437687666949,212736368903337
190437687666949,257354517742602
190437687666949,83574526405
190437687666949,365564556992
190437687666949,186056074778014
190437687666949,602591843108431
190437687666949,559759417377542
190437687666949,290277741009214
190437687666949,59831506882
190437687666949,103729003025453
190437687666949,18189121708
190437687666949,58888453831
190437687666949,131121823568519
190437687666949,34767149008
190437687666949,68793499001
190437687666949,171383626246822
190437687666949,346203887439
190437687666949,281860881825868
190437687666949,215703251800930
190437687666949,191679177567311
190437687666949,226895667352719
190437687666949,636862503012774
190437687666949,134217865045
190437687666949,128262010598913
190437687666949,112100755530902
190437687666949,234533083268362
190437687666949,220182024666815
190437687666949,259071070811691
190437687666949,121088411241146
190437687666949,172494996147533
190437687666949,163823047006
190437687666949,104954842873299
190437687666949,54758433924
190437687666949,56635720906
190437687666949,45720010957
190437687666949,287028919805
190437687666949,50997736442
190437687666949,103182619729750
190437687666949,78330683438
190437687666949,112217058793431
190437687666949,103783932994059
190437687666949,340534192687703
190437687666949,126207277403874
190437687666949,265482496899984
190437687666949,173785986001671
190437687666949,116904581706997
190437687666949,130124267312
190437687666949,374420602617543
190437687666949,169106463180103
190437687666949,376024725809685
190437687666949,114724438556644
190437687666949,240655779388526
190437687666949,141969316908
190437687666949,305713850071
190437687666949,190495957655976
190437687666949,9465008123
190437687666949,145539142167043
190437687666949,94714865747
190437687666949,112136925472589
190437687666949,307607155931699
190437687666949,176629862359769
