Source,Target,Type,id,label,timeset,weight
61213649618,195923199514,Directed,14450,,,1.0
61213649618,226130625557,Directed,14451,,,1.0
61213649618,1500340693610646,Directed,14452,,,1.0
61213649618,1781133445452041,Directed,14453,,,1.0
61213649618,924214637636430,Directed,14454,,,1.0
61213649618,208966514625,Directed,14455,,,1.0
61213649618,136659463030729,Directed,14456,,,1.0
61213649618,961765523901217,Directed,14457,,,1.0
61213649618,458456357677041,Directed,14458,,,1.0
61213649618,160968200582928,Directed,14459,,,1.0
61213649618,119674301521593,Directed,14460,,,1.0
61213649618,115103408384,Directed,14461,,,1.0
61213649618,573553349394917,Directed,14462,,,1.0
61213649618,229696957077165,Directed,14463,,,1.0
61213649618,682465328448639,Directed,14464,,,1.0
61213649618,99158093147,Directed,14465,,,1.0
61213649618,205095032857458,Directed,14466,,,1.0
61213649618,61506671531,Directed,14467,,,1.0
61213649618,131132106964054,Directed,14468,,,1.0
61213649618,1444320322459405,Directed,14469,,,1.0
61213649618,534911713219660,Directed,14470,,,1.0
61213649618,567206813361123,Directed,14471,,,1.0
61213649618,394319110634273,Directed,14472,,,1.0
61213649618,283048951715725,Directed,14473,,,1.0
61213649618,528582947162730,Directed,14474,,,1.0
61213649618,543106212368728,Directed,14475,,,1.0
61213649618,241867085852973,Directed,14476,,,1.0
61213649618,34767149008,Directed,14477,,,1.0
61213649618,24961338115,Directed,14478,,,1.0
61213649618,1416083275315388,Directed,14479,,,1.0
61213649618,165878254250,Directed,14480,,,1.0
61213649618,226380994085115,Directed,14481,,,1.0
61213649618,203999956301716,Directed,14482,,,1.0
61213649618,309133815849921,Directed,14483,,,1.0
61213649618,270577976380974,Directed,14484,,,1.0
61213649618,380994871968780,Directed,14485,,,1.0
61213649618,349031161842570,Directed,14486,,,1.0
61213649618,153043694834703,Directed,14487,,,1.0
61213649618,176233772426218,Directed,14488,,,1.0
61213649618,221461167951955,Directed,14489,,,1.0
61213649618,165929753457385,Directed,14490,,,1.0
61213649618,119677581444554,Directed,14491,,,1.0
61213649618,235122709860671,Directed,14492,,,1.0
61213649618,105496182898573,Directed,14493,,,1.0
61213649618,111205048906987,Directed,14494,,,1.0
61213649618,228268697257392,Directed,14495,,,1.0
61213649618,117098835054439,Directed,14496,,,1.0
