id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
273973736087518,Frases de Siddhartha,,11676,Artist,FrasesdeSiddhartha,yes,https://www.facebook.com/FrasesdeSiddhartha/,0.02,248
204762189575047,El Plaza,,197505,Performance Venue,ElPlazaCondesa,no,https://www.facebook.com/ElPlazaCondesa/,0.13,6468
239978312692495,Rolling Stone México,,422169,Magazine,RollingStoneMX,yes,https://www.facebook.com/RollingStoneMX/,1.01,14303
222571351138050,FILTER México,,72729,Entertainment Website,FILTERMexico,yes,https://www.facebook.com/FILTERMexico/,0.56,12131
172402942946734,Siddhartheros,,4728,Community,www.siddhartheros.cl,yes,https://www.facebook.com/www.siddhartheros.cl/,0.02,247
453477231339316,Club de fans de Siddhartha,,1699,Musician/Band,,yes,https://www.facebook.com/Club-de-fans-de-Siddhartha-453477231339316/,0.0,5
413725768696915,Street Team Oficial Siddhartha DF,,1524,Musician/Band,StreetTeamSiddharthaDF,yes,https://www.facebook.com/StreetTeamSiddharthaDF/,0.0,12
251378128228830,D E L O R E A N   |   santuario sonoro,,25842,Bar,DeLoreanBar,yes,https://www.facebook.com/DeLoreanBar/,0.21,389
477335982304749,Náufragos Querétaro,,195,Community,NaufragosQueretaro,yes,https://www.facebook.com/NaufragosQueretaro/,0.0,0
112325072160903,Monaghan,,19428,Bar,MonaghanPubLeon,yes,https://www.facebook.com/MonaghanPubLeon/,0.0,39
198522313548381,Nachos & Gangas !!,,3462,Local Business,,no,https://www.facebook.com/pages/Nachos-Gangas-/198522313548381,0.0,0
170009049731347,Nachos&Gangas,,36548,Arts & Entertainment,NachosandGangas,yes,https://www.facebook.com/NachosandGangas/,0.0,16
193271904063783,Naúfragos Querétaro,,1490,Musician/Band,OficialesNaufragosQueretaro,yes,https://www.facebook.com/OficialesNaufragosQueretaro/,0.01,7
239288781938,LOV/RECS,,1400,Record Label,LOVRECS,yes,https://www.facebook.com/LOVRECS/,0.01,8
348682011829533,Club de Fans de Siddhartha Hidalgo,,850,Musician/Band,SiddHidalgo,yes,https://www.facebook.com/SiddHidalgo/,0.0,0
105668062883238,Siddhartha Fan Club Chiapas,,2064,Musician/Band,,yes,https://www.facebook.com/Siddhartha-Fan-Club-Chiapas-105668062883238/,0.0,12
150568785053631,Club de fans (official) de Siddhartha (Edo. de Méx.),,2532,Musician/Band,,yes,https://www.facebook.com/Club-de-fans-official-de-Siddhartha-Edo-de-Méx-150568785053631/,0.0,6
337690022930120,Street Team Siddhartha Fanslp,,1799,Musician/Band,,yes,https://www.facebook.com/Street-Team-Siddhartha-Fanslp-337690022930120/,0.0,3
208912265850644,Siddhartha Fans Club Puebla,,922,Musician/Band,,yes,https://www.facebook.com/Siddhartha-Fans-Club-Puebla-208912265850644/,0.0,4
129315357084610,Club De Fans Siddhartha Naufragos Leon Guanajuato,,1512,Musician/Band,,yes,https://www.facebook.com/Club-De-Fans-Siddhartha-Naufragos-Leon-Guanajuato-129315357084610/,0.0,7
179892435394009,club de fans (official) de siddhartha guadalajara,,1407,Musician/Band,SiddharthaGdl,yes,https://www.facebook.com/SiddharthaGdl/,0.03,96
293646950658617,Náufragos Oficiales Siddhartha  DF,,4816,Musician/Band,siddharthaDF,yes,https://www.facebook.com/siddharthaDF/,0.04,1129
136231113151476,Club de fans de Siddhartha Toluca Edo. Mexico(Oficial),,3063,Musician/Band,,yes,https://www.facebook.com/Club-de-fans-de-Siddhartha-Toluca-Edo-MexicoOficial-136231113151476/,0.0,6
185088321885965,Ruko Trombón,,1366,Musician/Band,,yes,https://www.facebook.com/Ruko-Trombón-185088321885965/,0.01,237
337903669691654,Parker,,2134,Musician/Band,Parkermusicoficial,yes,https://www.facebook.com/Parkermusicoficial/,0.02,529
1691258697801044,Caloncho - Tlaxcala.,,306,Musician/Band,CalonchoTlaxcala,yes,https://www.facebook.com/CalonchoTlaxcala/,0.0,38
199105446792873,Mon laferte,,792429,Musician/Band,monlaferte,yes,https://www.facebook.com/monlaferte/,0.73,134828
105201263971,SQUALO,,102150,Company,squalo.internacional,yes,https://www.facebook.com/squalo.internacional/,0.08,2085
23251971320,La Vida Bohéme,,92071,Musician/Band,LaVidaBoheme,yes,https://www.facebook.com/LaVidaBoheme/,0.01,49
549683438397000,Elsa y Elmar,,49147,Musician/Band,elsayelmar,yes,https://www.facebook.com/elsayelmar/,0.03,953
322481841249511,Fundacion Alebrije,,234,Non-Profit Organization,,no,https://www.facebook.com/Fundacion-Alebrije-322481841249511/,0.0,0
715619191816504,ELLERBROCK - Guitar and Bass Repair,,1325,Professional Service,EllerbrockGuitarAndBassRepair,yes,https://www.facebook.com/EllerbrockGuitarAndBassRepair/,0.02,28
186975291390016,Pizza Del Perro Negro,,131272,Restaurant/Cafe,,yes,https://www.facebook.com/Pizza-Del-Perro-Negro-186975291390016/,0.04,13764
134360976763091,Amapola Cultura,,3237,Magazine,amapolacultura,yes,https://www.facebook.com/amapolacultura/,0.01,30
1418107861753464,Valen Avilés,,2288,Community,,yes,https://www.facebook.com/Valen-Avilés-1418107861753464/,0.0,36
399306763502968,Casa Calavera,,1835,Movie & Television Studio,casacalavera,yes,https://www.facebook.com/casacalavera/,0.0,7
143448695704777,Gritaradio,,102741,Radio Station,GritaRadio,yes,https://www.facebook.com/GritaRadio/,1.21,9455
110041772386680,Distrito Global,,41008,Community Organization,distritoglobal,yes,https://www.facebook.com/distritoglobal/,0.07,241
